X,Y,KKOD,TEXT,TEXTTYP
2047854.15438807,8469218.25587713,182,Storträsket,O
2048941.34691059,8470023.37192892,1,Bystaden,O
2051526.49247667,8469956.83177158,3,Kavarö,O
2047113.81962766,8470613.28274388,1,Västersvedjan,O
2049874.79739646,8470638.15391544,1,Solled,O
2048894.48802004,8471569.45186948,1,Lugnet,O
2048022.24252338,8471983.24725649,52,Ormbackarna,O
2049953.09531263,8472045.40188802,2,Ängsholmen,O
2046060.17855454,8473025.385505,52,Långträsket,O
2051716.45525154,8473011.92275213,2,Kavaröbro,O
2048725.23342881,8473536.54211689,53,Yxholmen,O
2047445.99845197,8473716.18778351,1,Ryan,O
2049243.15009586,8474019.53527483,182,Yttre Hummelfjärden,O
2048659.43398535,8474336.6952097,2,Bolkastrand,O
2046578.63969059,8475202.38412223,3,Skinnäsviken,O
2048006.27544534,8475619.11486653,51,Klykhällen,O
2050023.62805758,8475628.08934587,51,Visthus,O
2052861.99827926,8465589.68169844,1,Verkarna,O
2057827.95420927,8465640.11635634,182,Bodviken,O
2055425.0464787,8466245.33004282,1,Johanneslund,O
2057259.03003757,8467255.89116361,182,Järsösundet,O
2055025.62056831,8468030.65929097,1,Stordrag,O
2057325.9960159,8467974.97040356,53,Järsön,O
2056318.36564732,8469253.58998942,51,Stor-Skrållan,O
2052950.304625,8469934.24953168,182,Innerfjärden,O
2054957.58072301,8469988.80606767,1,Enkullen,O
2056883.82375822,8469954.07151054,193,Järsöfjärden,O
2054182.67285294,8470565.03955201,52,Prästholmen,O
2053006.55705284,8470903.62327522,52,Brännskäret,O
2058404.14341796,8470696.80416921,52,Stånggrundet,O
2055787.56277506,8471021.16879012,52,Fursudden,O
2057268.92392797,8471378.34071617,52,Varvsholmen,O
2056650.73454826,8471743.25743347,52,Långören,O
2055974.28380358,8472243.06359805,51,Katrinörarna,O
2056438.16214874,8472468.66132465,52,Lövskalmen,O
2057782.04085457,8472323.938526,71,Skeppshällen,O
2054087.09307931,8472980.76587362,54,Sunnanö,O
2058507.33661971,8473283.08116762,53,Kalvudden,O
2057473.48346725,8474639.04042848,71,Farsholmen,O
2055166.39308936,8475030.408079,2,Slipen,O
2056795.48109441,8475321.98944751,52,Domarskäret,O
2076972.55157562,8472699.82190712,51,Valen,O
2076504.07598661,8465741.19236162,52,Fruören,O
2078032.19887568,8480962.35639179,52,Norr-Svensbergen,O
2077375.47061491,8465334.16802415,52,Hamnskäret,O
2077505.22572121,8465976.22521322,52,Tistronören,O
2079050.7545797,8479785.90731562,52,Stenharen,O
2078762.76409831,8471723.4157755,51,Vitgrynnan,O
2078769.3789384,8470901.36919338,51,Per-Larsgrynnan,O
2080377.44856456,8477264.22974957,51,Svensbergssmällen,O
2080545.39873885,8463797.39075794,52,Rödskäret,O
2082006.1456531,8466384.28846896,51,Bådsmällen,O
2085335.00896737,8481376.8997733,51,Västerbådsmällen,O
2084448.42146705,8465383.03718448,52,Ormöbådorna,O
2084888.23783917,8477656.42086986,51,Hållsmällen,O
2086752.5569973,8476343.78070931,52,Hållet,O
2089071.54483999,8476073.88191131,52,Blåbådan,O
2089464.10325911,8482435.49943944,52,Västerbådan,O
2089886.0796114,8469967.54676706,198,Södra Kvarken,O
2092467.06460047,8482287.10945177,52,Storgrunden,O
2093991.92725354,8481954.82477084,52,Lågagrunden,O
2095822.68512881,8481929.74399792,52,Östergrynnan,O
2094873.68776187,8466397.71693649,51,Gråsjälskullrorna,O
2096256.2687776,8467279.62845105,52,Vikakullrorna,O
2098595.03837444,8466744.47715645,52,Norrsten,O
2098819.66436687,8465225.10088968,52,Norrskär,O
2099898.40022455,8481967.82411551,51,Baldersgrund,O
2099341.87294838,8462850.59872947,51,Kniven,O
2100434.03732939,8462629.34403808,52,Medbådan,O
2057481.66170888,8466808.28381127,3,Kavaröskaten,O
2059133.80240996,8469809.0855322,52,Olsmässören,O
2059316.23851128,8471119.81426527,71,Syrsan,O
2059384.9120488,8469098.42600283,52,Alören,O
2058939.44649012,8468342.81933138,52,Bredörarna,O
2059912.39269725,8465693.57376372,52,Andersörarna,O
2060403.72228667,8468390.64246045,52,Granören,O
2061692.1889138,8464876.08798653,52,Stor-Balsaren,O
2061879.60335275,8471170.61830174,1,Getskär,O
2062711.4553956,8465577.59909966,52,Högskäret,O
